,Unnamed: 0,word,sentiment,lexicon,score,part
485,486,congenial,positive,nrc,,NN
486,487,congratulatory,positive,nrc,,NN
487,488,congregation,positive,nrc,,NN
488,489,congruence,positive,nrc,,NN
489,490,connoisseur,positive,nrc,,NN
490,491,conscience,positive,nrc,,NN
491,492,conscientious,positive,nrc,,JJ
492,493,consciousness,positive,nrc,,NN
493,494,consecration,positive,nrc,,NN
494,495,conservation,positive,nrc,,NN
495,496,conserve,positive,nrc,,NN
496,497,considerable,positive,nrc,,JJ
497,498,considerate,positive,nrc,,NN
498,499,consistency,positive,nrc,,NN
499,500,console,positive,nrc,,NN
500,501,consonant,positive,nrc,,NN
501,502,constancy,positive,nrc,,NN
502,503,constant,positive,nrc,,JJ
503,504,constitutional,positive,nrc,,JJ
504,505,construct,positive,nrc,,NN
505,506,consummate,positive,nrc,,NN
506,507,contact,positive,nrc,,NN
507,508,contemplation,positive,nrc,,NN
508,509,content,positive,nrc,,NN
509,510,continue,positive,nrc,,NN
510,511,contour,positive,nrc,,NN
511,512,contribute,positive,nrc,,NN
512,513,contributor,positive,nrc,,NN
513,514,convenience,positive,nrc,,NN
514,515,convenient,positive,nrc,,NN
515,516,convent,positive,nrc,,NN
516,517,convention,positive,nrc,,NN
517,518,conversant,positive,nrc,,NN
518,519,conversational,positive,nrc,,NN
519,520,convert,positive,nrc,,NN
520,521,convince,positive,nrc,,NN
521,522,cool,positive,nrc,,NN
522,523,coolness,positive,nrc,,NN
523,524,cooperate,positive,nrc,,NN
524,525,cooperating,positive,nrc,,VBG
525,526,cooperation,positive,nrc,,NN
526,527,cooperative,positive,nrc,,NN
527,528,core,positive,nrc,,NN
528,529,coronation,positive,nrc,,NN
529,530,corporation,positive,nrc,,NN
530,531,corporeal,positive,nrc,,NN
531,532,corrective,positive,nrc,,NN
532,533,correspondence,positive,nrc,,NN
533,534,corroborate,positive,nrc,,NN
534,535,cosmopolitan,positive,nrc,,NN
535,536,cosy,positive,nrc,,NN
536,537,council,positive,nrc,,NN
537,538,counsel,positive,nrc,,NN
538,539,counselor,positive,nrc,,NN
539,540,count,positive,nrc,,NN
540,541,countess,positive,nrc,,NN
541,542,courage,positive,nrc,,NN
542,543,courageous,positive,nrc,,JJ
543,544,courteous,positive,nrc,,JJ
544,545,courtesy,positive,nrc,,NN
545,546,courtship,positive,nrc,,NN
546,547,cove,positive,nrc,,NN
547,548,covenant,positive,nrc,,NN
548,549,cradle,positive,nrc,,NN
549,550,craft,positive,nrc,,NN
550,551,craftsman,positive,nrc,,NN
551,552,cream,positive,nrc,,NN
552,553,create,positive,nrc,,NN
553,554,creative,positive,nrc,,JJ
554,555,credence,positive,nrc,,NN
555,556,credential,positive,nrc,,NN
556,557,credibility,positive,nrc,,NN
557,558,credible,positive,nrc,,JJ
558,559,credit,positive,nrc,,NN
559,560,creditable,positive,nrc,,JJ
560,561,credited,positive,nrc,,VBN
561,562,crescendo,positive,nrc,,NN
562,563,critique,positive,nrc,,NN
563,564,crowning,positive,nrc,,VBG
564,565,crucial,positive,nrc,,JJ
565,566,crystal,positive,nrc,,NN
566,567,cuddle,positive,nrc,,NN
567,568,culinary,positive,nrc,,NN
568,569,culmination,positive,nrc,,NN
569,570,cultivate,positive,nrc,,NN
570,571,cultivated,positive,nrc,,VBN
571,572,cultivation,positive,nrc,,NN
572,573,culture,positive,nrc,,NN
573,574,cunning,positive,nrc,,VBG
574,575,curable,positive,nrc,,JJ
575,576,curiosity,positive,nrc,,NN
576,577,curl,positive,nrc,,NN
577,578,cushion,positive,nrc,,NN
578,579,customer,positive,nrc,,NN
579,580,cute,positive,nrc,,NN
580,581,cutters,positive,nrc,,NNS
581,582,dame,positive,nrc,,NN
582,583,dance,positive,nrc,,NN
583,584,daring,positive,nrc,,VBG
584,585,darling,positive,nrc,,VBG
585,586,dashing,positive,nrc,,VBG
